Instance;Best Sol;Mean Sol;Min Sol;Max Sol;Time Best;Time Mean
berlin52;7542;7542;7542;7542;0,000;0,022;
eil51;426;426;426;426;0,016;0,595;
eil76;538;538;538;538;0,015;0,245;
